cpus=12
 stress-ng-matri-110475 [006] 70738.514955: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110472, Temp:29, dampen:1024 
 stress-ng-matri-110475 [006] 70738.514956: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110475, Temp:29, dampen:1024 
 stress-ng-matri-110475 [006] 70738.514956: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110476, Temp:29, dampen:1024 
 stress-ng-matri-110475 [006] 70738.514956: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110478, Temp:29, dampen:1024 
 stress-ng-matri-110475 [006] 70738.514957: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110481, Temp:29, dampen:1024 
 stress-ng-matri-110475 [006] 70738.514957: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110482, Temp:29, dampen:1024 
 stress-ng-matri-110478 [006] 70738.526904: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110472, Temp:20, dampen:1024 
 stress-ng-matri-110478 [006] 70738.526905: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110475, Temp:20, dampen:1024 
 stress-ng-matri-110478 [006] 70738.526905: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110476, Temp:20, dampen:1024 
 stress-ng-matri-110478 [006] 70738.526905: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110478, Temp:20, dampen:1024 
 stress-ng-matri-110478 [006] 70738.526906: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110481, Temp:20, dampen:1024 
 stress-ng-matri-110478 [006] 70738.526906: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110482, Temp:20, dampen:1024 
 stress-ng-matri-110478 [006] 70738.530898: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110472, Temp:20, dampen:1024 
 stress-ng-matri-110478 [006] 70738.530898: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110475, Temp:20, dampen:1024 
 stress-ng-matri-110478 [006] 70738.530899: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110476, Temp:20, dampen:1024 
 stress-ng-matri-110478 [006] 70738.530899: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110478, Temp:20, dampen:1024 
 stress-ng-matri-110478 [006] 70738.530900: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110481, Temp:20, dampen:1024 
 stress-ng-matri-110478 [006] 70738.530900: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110482, Temp:20, dampen:1024 
 stress-ng-matri-110476 [006] 70738.534890: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110472, Temp:19, dampen:1024 
 stress-ng-matri-110476 [006] 70738.534891: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110475, Temp:19, dampen:1024 
 stress-ng-matri-110476 [006] 70738.534891: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110476, Temp:19, dampen:1024 
 stress-ng-matri-110476 [006] 70738.534892: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110478, Temp:19, dampen:1024 
 stress-ng-matri-110476 [006] 70738.534892: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110481, Temp:19, dampen:1024 
 stress-ng-matri-110476 [006] 70738.534892: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110482, Temp:19, dampen:1024 
 stress-ng-matri-110481 [006] 70738.538858: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110472, Temp:19, dampen:1024 
 stress-ng-matri-110481 [006] 70738.538858: bprint:               sugov_update_single_freq: Balv: CPU:CPU6 process=stress-ng-matri pid 110475, Temp:19, dampen:1024 
