 stress-ng-matri-110495 [000] 70738.566886: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:12, dampen:1024 
 stress-ng-matri-110470 [000] 70738.570895: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:11, dampen:1024 
 stress-ng-matri-110470 [000] 70738.570896: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:11, dampen:1024 
 stress-ng-matri-110470 [000] 70738.570897: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:11, dampen:1024 
 stress-ng-matri-110496 [000] 70738.574891: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.574893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.574893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.578935: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.578936: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.578936: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.582892: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:12, dampen:1024 
 stress-ng-matri-110496 [000] 70738.582893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:12, dampen:1024 
 stress-ng-matri-110496 [000] 70738.582893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:12, dampen:1024 
 stress-ng-matri-110470 [000] 70738.586891: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:12, dampen:1024 
 stress-ng-matri-110470 [000] 70738.586892: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:12, dampen:1024 
 stress-ng-matri-110470 [000] 70738.586893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:12, dampen:1024 
 stress-ng-matri-110495 [000] 70738.590892: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.590893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.590894: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.594891: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.594893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.594893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110470 [000] 70738.598895: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110470 [000] 70738.598896: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110470 [000] 70738.598897: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.602893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.602894: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.602895: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.606894: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.606895: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.606895: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110470 [000] 70738.610893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110470 [000] 70738.610894: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110470 [000] 70738.610894: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
           <...>-2525  [000] 70738.611052: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
           <...>-2525  [000] 70738.611053: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
           <...>-2525  [000] 70738.611054: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.614899: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.614901: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.614901: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.618891: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.618892: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.618892: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.618945: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.618946: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.618946: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.619017: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.619018: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110479, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.619018: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110490, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.619019: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.619019: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.619093: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.619094: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110479, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.619094: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110490, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.619095: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.619095: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110470 [000] 70738.622892: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:15, dampen:1024 
 stress-ng-matri-110470 [000] 70738.622892: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110479, Temp:15, dampen:1024 
 stress-ng-matri-110470 [000] 70738.622893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110490, Temp:15, dampen:1024 
 stress-ng-matri-110470 [000] 70738.622893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:15, dampen:1024 
 stress-ng-matri-110470 [000] 70738.622893: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:15, dampen:1024 
 stress-ng-matri-110490 [000] 70738.626884: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:12, dampen:1024 
