cpus=12
 stress-ng-matri-110491 [007] 70738.513948: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110468, Temp:29, dampen:1024 
 stress-ng-matri-110491 [007] 70738.513950: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110491, Temp:29, dampen:1024 
 stress-ng-matri-110491 [007] 70738.514954: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110468, Temp:29, dampen:1024 
 stress-ng-matri-110491 [007] 70738.514955: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110491, Temp:29, dampen:1024 
 stress-ng-matri-110491 [007] 70738.525211: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110468, Temp:22, dampen:1024 
 stress-ng-matri-110491 [007] 70738.525214: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110491, Temp:22, dampen:1024 
  winedevice.exe-51247 [007] 70738.525364: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110468, Temp:22, dampen:1024 
  winedevice.exe-51247 [007] 70738.525365: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110491, Temp:22, dampen:1024 
 stress-ng-matri-110468 [007] 70738.526904: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110468, Temp:20, dampen:1024 
 stress-ng-matri-110468 [007] 70738.526905: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110491, Temp:20, dampen:1024 
 stress-ng-matri-110468 [007] 70738.530898: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110468, Temp:20, dampen:1024 
 stress-ng-matri-110468 [007] 70738.530899: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110491, Temp:20, dampen:1024 
 stress-ng-matri-110491 [007] 70738.534890: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110468, Temp:19, dampen:1024 
 stress-ng-matri-110491 [007] 70738.534891: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110491, Temp:19, dampen:1024 
 stress-ng-matri-110491 [007] 70738.538857: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110468, Temp:19, dampen:1024 
 stress-ng-matri-110491 [007] 70738.538859: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110491, Temp:19, dampen:1024 
 stress-ng-matri-110468 [007] 70738.542889: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110468, Temp:18, dampen:1024 
 stress-ng-matri-110468 [007] 70738.542891: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110491, Temp:18, dampen:1024 
 stress-ng-matri-110491 [007] 70738.545433: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110468, Temp:18, dampen:1024 
 stress-ng-matri-110491 [007] 70738.545434: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110491, Temp:18, dampen:1024 
 stress-ng-matri-110468 [007] 70738.546887: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110468, Temp:18, dampen:1024 
 stress-ng-matri-110468 [007] 70738.546888: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110491, Temp:18, dampen:1024 
 stress-ng-matri-110468 [007] 70738.550890: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110468, Temp:18, dampen:1024 
 stress-ng-matri-110468 [007] 70738.550891: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110491, Temp:18, dampen:1024 
 stress-ng-matri-110491 [007] 70738.554885: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110468, Temp:16, dampen:1024 
 stress-ng-matri-110491 [007] 70738.554886: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110491, Temp:16, dampen:1024 
 stress-ng-matri-110491 [007] 70738.554986: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110468, Temp:16, dampen:1024 
 stress-ng-matri-110491 [007] 70738.554988: bprint:               sugov_update_single_freq: Balv: CPU:CPU7 process=stress-ng-matri pid 110491, Temp:16, dampen:1024 
