cpus=12
 stress-ng-matri-110490 [001] 70738.550891: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110479, Temp:15, dampen:1024 
 stress-ng-matri-110490 [001] 70738.550891: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110490, Temp:15, dampen:1024 
           <...>-110479 [001] 70738.554885: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
           <...>-110479 [001] 70738.554885: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110479, Temp:14, dampen:1024 
           <...>-110479 [001] 70738.554886: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110490, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.558957: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.558958: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110479, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.558959: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110490, Temp:14, dampen:1024 
 stress-ng-matri-110490 [001] 70738.562886: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:12, dampen:1024 
 stress-ng-matri-110490 [001] 70738.562887: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110479, Temp:12, dampen:1024 
 stress-ng-matri-110490 [001] 70738.562887: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110490, Temp:12, dampen:1024 
 stress-ng-matri-110469 [001] 70738.564240: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:11, dampen:1024 
 stress-ng-matri-110469 [001] 70738.564241: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110479, Temp:11, dampen:1024 
 stress-ng-matri-110469 [001] 70738.564241: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110490, Temp:11, dampen:1024 
 stress-ng-matri-110469 [001] 70738.566884: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:12, dampen:1024 
 stress-ng-matri-110469 [001] 70738.566885: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110479, Temp:12, dampen:1024 
 stress-ng-matri-110469 [001] 70738.566886: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110490, Temp:12, dampen:1024 
           <...>-110479 [001] 70738.570895: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:11, dampen:1024 
           <...>-110479 [001] 70738.570896: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110479, Temp:11, dampen:1024 
           <...>-110479 [001] 70738.570896: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110490, Temp:11, dampen:1024 
